::1 - - [09/Apr/2019:04:09:51 +0000] "GET /grades HTTP/1.1" 200 179 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36"
::ffff:127.0.0.1 - - [09/Apr/2019:04:19:12 +0000] "GET /grades HTTP/1.1" 200 179 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:19:17 +0000] "GET /grades HTTP/1.1" 200 179 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:19:26 +0000] "GET /grades HTTP/1.1" 200 179 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:21:02 +0000] "POST /grades HTTP/1.1" 200 14 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:21:09 +0000] "GET /grades HTTP/1.1" 200 179 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:22:32 +0000] "GET /grades HTTP/1.1" 200 179 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:22:38 +0000] "GET /grades HTTP/1.1" 200 179 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:24:54 +0000] "POST /grades?name=%27edwin%27 HTTP/1.1" 200 14 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:30:34 +0000] "POST /grades HTTP/1.1" 200 14 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:30:52 +0000] "POST /grades HTTP/1.1" 200 14 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:31:08 +0000] "GET /grades HTTP/1.1" 200 179 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:31:18 +0000] "POST /grades?name=%27edwin%20Bernal%27 HTTP/1.1" 200 14 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [09/Apr/2019:04:31:34 +0000] "POST /grades?name=%27edwin%20Bernal%27 HTTP/1.1" 200 14 "-" "vscode-restclient"
